id,first_name,last_name,email,country,credit_card_#,longitude,latitude,reg_expr
1,Linda,Webb,lwebb0@businessweek.com,Indonesia,3559038219618872,111.5817,-7.1849,026178-6165
2,Christina,Fields,cfields1@simplemachines.org,China,3529385922267795,126.54694,41.9335,104250-6762
3,Philip,Bryant,pbryant2@economist.com,Indonesia,3588703573197186,113.75594,-8.2409,251746-5982
4,Shirley,Hall,shall3@technorati.com,Belarus,67714497744050679,28.11049,56.0147,781881-2912
5,Keith,Fisher,kfisher4@twitpic.com,South Africa,5018440476454092021,28.28333,-24.88333,559051-1485
6,Peter,Carter,pcarter5@sciencedirect.com,Indonesia,3582025558953433,123.7529,-8.1916,390825-8399
7,Stephanie,Elliott,selliott6@last.fm,Tanzania,6394843184934093,34.35,-4.6,299075-4018
8,Tina,Elliott,telliott7@youtube.com,Sweden,3532918435487446,17.0777,59.6361,479294-3453
9,Ruth,Morrison,rmorrison8@slashdot.org,Poland,3588396643395011,21.67079,49.77777,867430-5167
10,Daniel,Thomas,dthomas9@behance.net,Indonesia,56022318871562452,107.3138,-7.3159,012494-5097
11,Diane,Kennedy,dkennedya@unblog.fr,China,4041592348049,121.67972,31.9225,283611-4187
12,Ruth,Little,rlittleb@fastcompany.com,China,30374583033033,120.54051,32.45824,804979-0196
13,Bonnie,Bailey,bbaileyc@a8.net,Brazil,3588709147304505,-51.11444,-29.37639,852902-6064
14,Eugene,Cole,ecoled@state.gov,Russia,6384301254586220,43.51294,56.10514,005176-9574
15,Jennifer,Daniels,jdanielse@census.gov,Philippines,5602244712015499,123.4227,8.6561,583892-3763
16,Amy,Cruz,acruzf@istockphoto.com,Czech Republic,3552316481060024,17.34064,49.0339,725552-0292
17,Laura,Spencer,lspencerg@google.fr,Cuba,201775957377199,-78.22583,21.52472,881265-8157
18,Steve,Franklin,sfranklinh@biblegateway.com,Botswana,3538518819841624,26.81421,-23.10407,614478-3575
19,Craig,Rivera,criverai@barnesandnoble.com,Norway,3563762227796347,10.9298,59.2181,181355-9310
20,Gregory,Riley,grileyj@bloomberg.com,Egypt,3528738019631896,31.09785,29.07441,681894-3436
21,Raymond,Snyder,rsnyderk@netvibes.com,Russia,6304307133413707,135.45582,48.46547,934670-3147
22,Maria,Lawson,mlawsonl@microsoft.com,China,3562977064019113,122.0867,30.11377,126609-2927
