firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar,id
1987.42,453,5,6238206142.8,-20158947.736,201709996295229,1519317.202,18067882.85,1
5768.31,183,43,292404895.9,-55998388.641,3546359693755451,6054924.517,33271934.76,2
3079.24,962,45,139665369.4,-19881700.177,201708588839980,4009368.167,84337763.94,3
3966.29,232,46,4671378897.3,-76850575.307,6771760238696697,186777.674,39710661.72,4
9575.21,66,96,5394593912.5,-106646264.33,4911157623174606230,10178544.186,71352136.69,5
6168.35,111,83,10689960289.6,-15874092.836,3547244173710011,11632535.811,47304586.57,6
981.64,834,51,433234887.5,-92328429.278,564182950521201807,434505.285,106563362.27,7
5997.7,757,1,23101985.2,-38594599.283,3539283828003448,2376368.309,8626781.46,8
9470.64,237,8,12005065372.9,-104022371.84,5602227067943555,4986845.503,16984773.73,9
2708.2,358,12,4808903837.6,-47965974.844,5584848660077798,10943305.156,100009444.06,10
9487.52,669,51,11166507109.5,-12570973.473,3536838937230084,11795895.287,106857890.72,11
7876.54,644,21,1336024511.2,-74172741.526,5610250710320419,7458686.87,11806378.55,12
5521.23,722,28,1702716488.2,-79696721.462,3581405878919259,7064002.637,100955282.77,13
5709.28,705,59,12298532541.0,-39184677.337,4041595381757,9086215.352,4833632.41,14
1406.15,930,20,8839031686.9,-120221881.49,374283500949698,9748969.135,14514924.44,15
7634.75,729,44,7631590016.8,-3135235.5575,675946463885322350,9860188.557,98023389.71,16
2145.35,522,46,7248493090.3,-9026353.4273,4905511716165745,4645398.783,28703105.05,17
5634.83,494,30,4025681699.6,-116231100.13,633470422916822526,11981121.276,81358908.6,18
2693.79,340,40,9782948898.0,-2882713.7528,3577065599567542,11550653.877,40185193.3,19
5626.79,324,27,7091174249.9,-95193091.832,4913254391145928,785223.976,109384079.61,20
363.36,877,32,310371675.0,-103656160.16,3580139220722431,506260.516,25005213.69,21
3947.61,728,62,9726878482.1,-98562047.664,4026580768484266,2434608.056,49479886.21,22
403.16,389,82,1688850657.3,-55214745.853,5038957794030136,3513075.757,97690962.14,23
1270.83,433,80,4568438136.6,-91747353.923,633443606180854736,2277749.56,13820802.17,24
4556.12,656,68,11637536745.4,-35155440.841,372301900555527,10602019.805,32208970.36,25
3550.51,836,37,6538472808.8,-42337550.064,3566023367310721,11034444.858,91276655.79,26
7127.1,522,71,5892182416.0,-108868359.5,3564885954713927,8557214.97,108887336.03,27
3154.14,177,33,4649945266.2,-4912843.3548,4175002968966496,7958352.978,86460116.58,28
9080.72,182,8,9154993269.9,-14537627.014,3552648949420014,9053580.428,76011922.23,29
6743.72,105,36,10099534915.5,-16943565.161,4905820555678266,2152664.082,9054871.95,30
6681.28,444,33,3679865118.2,-44292725.454,63042825678847318,11861780.835,71340083.03,31
187.67,287,55,174520670.4,-75839174.179,3549071429660502,2110250.983,67313387.2,32
7704.5,745,38,11345763198.9,-106200613.54,3576525438310405,6025340.63,24527939.09,33
4863.02,65,77,3399242150.2,-55848863.899,3570098069360616,2301316.196,557324.22,34
5870.86,403,72,10279168841.5,-49235401.411,3550344006177596,11542124.625,18174856.04,35
1413.24,201,20,11711767001.3,-39938394.379,560222106150718633,10282636.072,18202011.04,36
6018.47,147,45,1528203923.1,-91228092.624,63041346281204194,6650983.922,65922670.34,37
824.22,305,68,3277175133.1,-72640576.037,50384326611636374,8777676.534,61287069.06,38
9013.25,306,65,3617947545.9,-51983216.821,201747713929829,929236.826,78507286.68,39
8370.61,498,89,7653825218.6,-92426043.534,6378634089872813,1309886.18,34579206.41,40
4351.79,660,17,1827969010.4,-71232268.093,3564033930200517,1871936.585,42087277.62,41
4622.12,731,51,5546949104.0,-17681525.924,3567480770979667,8001352.258,55304684.84,42
4908.09,437,67,2856578315.4,-46311676.623,3550227568464850,9842828.678,35700799.43,43
7450.59,938,6,3576263701.8,-1862202.7796,3546253249358300,11733794.537,51653617.27,44
6423.4,550,76,4608811022.7,-76576592.296,3577535948834736,6655630.217,44987047.41,45
5376.86,57,99,11777558287.5,-92692721.753,4405061827885869,2586720.645,105339301.81,46
1218.71,896,21,878838245.7,-114127643.34,5007664894802565,9994682.866,17507226.21,47
5155.24,286,81,9765786877.0,-35930793.988,5336401063793339,999373.126,104625869.56,48
3785.43,411,70,88275276.4,-65191276.639,6398866444286406,5679097.904,42104702.86,49
2713.44,401,71,5422780010.2,-9870550.229,5602216311384989,8925392.71,95337827.27,50
7.08,769,35,767509822.8,-57144822.763,5602236673649944,11963856.123,5424993.1,51
5514.58,952,9,3536702353.7,-89947505.33,560222617835154069,3657413.914,54620898.23,52
