firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar,number
119.56,12,97,10846357862.4,-61436710.567,5893714681899121,9073509.263,74141842.58,793
2666.04,532,93,11547076662.7,-109593502.7,5048376113841198,4069329.599,12057416.86,509
7452.31,755,21,11767833867.6,-100766123.02,3573540770255129,11614832.788,49047341.72,1005
8667.1,419,30,11750320864.9,-98930242.745,5220542228315754,3516937.925,90650184.09,340
7966.55,753,17,10094372594.0,-55002062.101,5343480864661961,5007439.057,58069501.16,462
1580.08,807,51,11552015422.9,-66284286.02,6763215351404163,4919169.077,83642640.44,221
3704.02,858,23,5786972787.2,-64330715.609,3584641008151002,8290719.261,57149658.71,173
4732.11,203,67,2377109786.5,-69423759.06,633348369512974229,338782.291,50865946.16,413
6070.28,654,73,4499167483.8,-95556188.245,4905358233851856,9239066.542,105409131.16,224
1467.18,637,20,4049090776.9,-23339401.61,6763162183472586523,11720313.349,75915150.22,628
1083.53,980,6,4652715690.7,-25989782.304,3579703769281696,4699823.231,42055075.94,556
9737.6,19,53,7928452005.2,-66621172.878,5610769758979695,5731929.69,79112932.8,395
7355.89,190,31,7053931404.4,-80221527.107,6333807675704806,7880213.25,79153088.46,420
6179.91,283,48,961766094.3,-7429204.8434,56022118399679337,10362754.378,51070189.04,347
5620.2,339,80,2939168321.9,-27949999.466,3581334036219842,11262690.461,30780213.63,367
5969.39,605,97,7915922399.9,-50850974.162,4903854291333029,8601855.023,55421547.72,2
6118.86,90,64,8158503615.1,-23836343.464,5002351351942838,12136899.54,96664732.36,57
4486.62,54,42,10104472869.7,-74718985.346,3530829804028699,11131969.352,68934094.88,78
8168.29,955,43,10363129080.3,-39629062.314,3538131304804956,3912159.025,48944940.95,1041
4575.78,866,63,10005948577.9,-103993.9231,201811868115384,9361766.033,84790724.6,957
5289.13,938,21,10670022065.0,-4304645.1633,3529863326171839,6965624.193,43022460.62,978
4106.29,254,68,11638820990.0,-68524643.24,3584108183511640,5968960.417,18669056.29,46
1391.69,617,39,5062915939.3,-42716140.685,3574637919428150,7323952.251,59749829.12,617
3396.62,996,40,11511539724.3,-87122734.563,3567942461856553,794114.382,67094919.0,903
4205.22,104,98,9132379028.5,-58525518.155,5602250265813826,11787166.694,109421869.87,563
4610.65,509,65,12060977818.3,-84087301.21,3570149300346284,1098438.911,7660271.38,185
3696.08,625,47,3455642067.6,-6950545.5959,5641828229283153022,4280102.59,111462988.25,474
8866.56,165,87,1173037658.2,-83142798.428,372301311459475,2741436.452,110669242.98,164
1465.53,815,66,11182870426.2,-3443976.7625,56022136163535147,10747864.78,13671633.55,147
2471.53,857,9,10031673722.7,-32005615.739,3583356856303883,6149263.304,58013644.01,1097
1004.51,997,95,6909063752.4,-73110331.967,3532075284919928,4316486.012,28423459.71,534
6338.77,890,70,11491157145.4,-60869847.848,3564324175056858,6814338.688,17268467.66,542
6808.62,225,93,11439049167.3,-85356119.837,5602253049173186,379336.511,49903918.15,472
6034.34,781,13,7283021306.6,-120813524.96,30202557136823,1837668.982,69939491.72,340
1197.1,739,19,5190673630.1,-120905300.85,3531227090753667,6937182.019,64821094.39,941
595.04,706,94,5333419894.2,-1893948.4081,201491006481574,9736246.712,69400805.36,636
8525.69,486,68,5761651959.7,-107843044.14,5018294966748905,1710862.299,107202738.5,856
5032.38,869,23,7396408810.2,-47043671.425,3549177731550636,6972856.083,94214077.5,734
458.84,585,92,3647581367.8,-94371558.152,3563981095849661,3990002.74,31419680.18,662
6006.88,956,19,9905871532.7,-94697461.708,4175002103517386,7152084.011,69849642.86,829
6176.01,417,49,4083500856.2,-49981938.23,0604129047418998205,1445236.95,61327489.62,414
2616.96,307,56,550023616.9,-83079322.953,5602226879859215,5293335.486,97052007.08,1052
